"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Males.b.","Total.Persons"
"Flynn","Eligible participants"," 1,070 "," 3,743 "," 4,040 "," 4,316 "," 4,312 "," 4,428 "," 4,775 "," 4,836 "," 5,088 "," 4,358 "," 3,694 "," 2,875 "," 1,839 "," 1,009 "," 673 "," 51,056 "," 100,594 "
"Flynn","Participation rate (%)"," 66.1 "," 54.7 "," 59.6 "," 64.3 "," 64.0 "," 68.2 "," 72.4 "," 77.1 "," 81.7 "," 84.1 "," 87.0 "," 88.3 "," 90.3 "," 88.3 "," 80.5 "," 73.6 "," 75.6 "
"Forde","Total participants"," 909 "," 2,894 "," 2,819 "," 2,940 "," 2,933 "," 3,178 "," 3,220 "," 3,010 "," 3,157 "," 2,938 "," 2,862 "," 2,347 "," 1,432 "," 809 "," 525 "," 35,973 "," 77,753 "
"Forde","Eligible participants"," 1,296 "," 4,597 "," 4,522 "," 4,575 "," 4,437 "," 4,534 "," 4,381 "," 3,962 "," 3,882 "," 3,495 "," 3,285 "," 2,639 "," 1,605 "," 939 "," 642 "," 48,791 "," 102,176 "
"Forde","Participation rate (%)"," 70.1 "," 63.0 "," 62.3 "," 64.3 "," 66.1 "," 70.1 "," 73.5 "," 76.0 "," 81.3 "," 84.1 "," 87.1 "," 88.9 "," 89.2 "," 86.2 "," 81.8 "," 73.7 "," 76.1 "
"Griffith","Total participants"," 1,069 "," 3,982 "," 4,660 "," 4,702 "," 4,197 "," 3,966 "," 4,118 "," 3,567 "," 3,206 "," 2,587 "," 2,162 "," 1,486 "," 1,075 "," 733 "," 633 "," 42,143 "," 90,487 "
"Griffith","Eligible participants"," 1,362 "," 5,487 "," 6,371 "," 6,355 "," 5,586 "," 5,119 "," 5,118 "," 4,257 "," 3,753 "," 3,021 "," 2,496 "," 1,680 "," 1,199 "," 823 "," 773 "," 53,400 "," 110,620 "
"Griffith","Participation rate (%)"," 78.5 "," 72.6 "," 73.1 "," 74.0 "," 75.1 "," 77.5 "," 80.5 "," 83.8 "," 85.4 "," 85.6 "," 86.6 "," 88.5 "," 89.7 "," 89.1 "," 81.9 "," 78.9 "," 81.8 "
"Groom","Total participants"," 978 "," 2,759 "," 2,758 "," 2,837 "," 2,637 "," 2,857 "," 3,281 "," 3,205 "," 3,612 "," 3,342 "," 3,112 "," 2,731 "," 1,902 "," 1,239 "," 982 "," 38,232 "," 82,713 "
"Groom","Eligible participants"," 1,368 "," 4,344 "," 4,258 "," 4,062 "," 3,712 "," 3,973 "," 4,212 "," 3,947 "," 4,215 "," 3,825 "," 3,480 "," 2,987 "," 2,067 "," 1,367 "," 1,154 "," 48,971 "," 103,430 "
"Groom","Participation rate (%)"," 71.5 "," 63.5 "," 64.8 "," 69.8 "," 71.0 "," 71.9 "," 77.9 "," 81.2 "," 85.7 "," 87.4 "," 89.4 "," 91.4 "," 92.0 "," 90.6 "," 85.1 "," 78.1 "," 80.0 "
"Herbert","Total participants"," 902 "," 3,055 "," 3,123 "," 3,086 "," 2,800 "," 2,979 "," 3,244 "," 3,137 "," 3,321 "," 2,956 "," 2,722 "," 2,098 "," 1,254 "," 733 "," 558 "," 35,968 "," 76,758 "
"Herbert","Eligible participants"," 1,399 "," 5,669 "," 5,492 "," 4,994 "," 4,384 "," 4,560 "," 4,633 "," 4,239 "," 4,297 "," 3,604 "," 3,193 "," 2,376 "," 1,439 "," 847 "," 684 "," 51,813 "," 106,423 "
"Herbert","Participation rate (%)"," 64.5 "," 53.9 "," 56.9 "," 61.8 "," 63.9 "," 65.3 "," 70.0 "," 74.0 "," 77.3 "," 82.0 "," 85.2 "," 88.3 "," 87.1 "," 86.5 "," 81.6 "," 69.4 "," 72.1 "
"Hinkler","Total participants"," 624 "," 1,757 "," 1,590 "," 1,706 "," 1,909 "," 2,190 "," 2,581 "," 2,857 "," 3,490 "," 3,832 "," 4,516 "," 4,244 "," 3,043 "," 1,793 "," 1,234 "," 37,366 "," 80,505 "
"Hinkler","Eligible participants"," 969 "," 2,989 "," 2,767 "," 2,765 "," 2,968 "," 3,301 "," 3,632 "," 3,772 "," 4,302 "," 4,527 "," 5,099 "," 4,726 "," 3,385 "," 2,042 "," 1,459 "," 48,703 "," 102,930 "
"Hinkler","Participation rate (%)"," 64.4 "," 58.8 "," 57.5 "," 61.7 "," 64.3 "," 66.3 "," 71.1 "," 75.7 "," 81.1 "," 84.6 "," 88.6 "," 89.8 "," 89.9 "," 87.8 "," 84.6 "," 76.7 "," 78.2 "
"Kennedy","Total participants"," 514 "," 1,768 "," 1,833 "," 1,922 "," 2,043 "," 2,303 "," 2,927 "," 3,239 "," 3,678 "," 3,692 "," 3,597 "," 2,974 "," 2,033 "," 1,250 "," 869 "," 34,642 "," 71,207 "
"Kennedy","Eligible participants"," 833 "," 3,423 "," 3,507 "," 3,498 "," 3,474 "," 3,934 "," 4,434 "," 4,617 "," 4,974 "," 4,694 "," 4,326 "," 3,514 "," 2,405 "," 1,491 "," 1,116 "," 50,240 "," 101,001 "
"Kennedy","Participation rate (%)"," 61.7 "," 51.7 "," 52.3 "," 54.9 "," 58.8 "," 58.5 "," 66.0 "," 70.2 "," 73.9 "," 78.7 "," 83.1 "," 84.6 "," 84.5 "," 83.8 "," 77.9 "," 69.0 "," 70.5 "
"Leichhardt","Total participants"," 651 "," 2,044 "," 2,242 "," 2,582 "," 2,682 "," 3,161 "," 3,468 "," 3,518 "," 3,736 "," 3,613 "," 3,162 "," 2,445 "," 1,348 "," 801 "," 506 "," 35,959 "," 75,595 "
"Leichhardt","Eligible participants"," 1,073 "," 4,079 "," 4,546 "," 4,703 "," 4,721 "," 5,273 "," 5,529 "," 5,206 "," 5,107 "," 4,652 "," 3,904 "," 2,900 "," 1,628 "," 946 "," 646 "," 54,913 "," 111,436 "
"Leichhardt","Participation rate (%)"," 60.7 "," 50.1 "," 49.3 "," 54.9 "," 56.8 "," 59.9 "," 62.7 "," 67.6 "," 73.2 "," 77.7 "," 81.0 "," 84.3 "," 82.8 "," 84.7 "," 78.3 "," 65.5 "," 67.8 "
"Lilley","Total participants"," 960 "," 3,061 "," 3,467 "," 3,812 "," 3,661 "," 3,679 "," 3,703 "," 3,447 "," 3,384 "," 2,970 "," 2,694 "," 2,152 "," 1,640 "," 1,127 "," 1,041 "," 40,798 "," 88,880 "
"Lilley","Eligible participants"," 1,267 "," 4,441 "," 4,912 "," 5,197 "," 4,908 "," 4,742 "," 4,664 "," 4,268 "," 4,060 "," 3,480 "," 3,049 "," 2,382 "," 1,817 "," 1,289 "," 1,272 "," 51,748 "," 109,129 "
"Lilley","Participation rate (%)"," 75.8 "," 68.9 "," 70.6 "," 73.4 "," 74.6 "," 77.6 "," 79.4 "," 80.8 "," 83.3 "," 85.3 "," 88.4 "," 90.3 "," 90.3 "," 87.4 "," 81.8 "," 78.8 "," 81.4 "
"Longman","Total participants"," 973 "," 2,633 "," 2,567 "," 2,584 "," 2,611 "," 2,914 "," 3,263 "," 3,305 "," 3,489 "," 3,528 "," 3,883 "," 3,379 "," 2,155 "," 1,219 "," 874 "," 39,377 "," 85,102 "
"Longman","Eligible participants"," 1,385 "," 4,212 "," 4,083 "," 3,960 "," 3,968 "," 4,252 "," 4,429 "," 4,338 "," 4,289 "," 4,163 "," 4,398 "," 3,768 "," 2,409 "," 1,347 "," 1,052 "," 52,053 "," 109,352 "
"Longman","Participation rate (%)"," 70.3 "," 62.5 "," 62.9 "," 65.3 "," 65.8 "," 68.5 "," 73.7 "," 76.2 "," 81.3 "," 84.7 "," 88.3 "," 89.7 "," 89.5 "," 90.5 "," 83.1 "," 75.6 "," 77.8 "
"Maranoa","Total participants"," 821 "," 2,135 "," 2,191 "," 2,181 "," 2,291 "," 2,677 "," 3,222 "," 3,530 "," 3,970 "," 4,054 "," 4,071 "," 3,376 "," 2,319 "," 1,387 "," 1,006 "," 39,231 "," 81,135 "
"Maranoa","Eligible participants"," 1,171 "," 3,673 "," 3,590 "," 3,371 "," 3,412 "," 3,923 "," 4,305 "," 4,541 "," 4,834 "," 4,768 "," 4,680 "," 3,748 "," 2,561 "," 1,594 "," 1,189 "," 51,360 "," 103,688 "
"Maranoa","Participation rate (%)"," 70.1 "," 58.1 "," 61.0 "," 64.7 "," 67.1 "," 68.2 "," 74.8 "," 77.7 "," 82.1 "," 85.0 "," 87.0 "," 90.1 "," 90.6 "," 87.0 "," 84.6 "," 76.4 "," 78.2 "
"McPherson","Total participants"," 913 "," 2,592 "," 2,527 "," 2,639 "," 2,809 "," 3,088 "," 3,256 "," 3,163 "," 3,232 "," 3,135 "," 3,295 "," 2,695 "," 1,918 "," 1,219 "," 1,062 "," 37,543 "," 82,749 "
"McPherson","Eligible participants"," 1,287 "," 3,982 "," 3,975 "," 3,971 "," 4,093 "," 4,442 "," 4,449 "," 4,044 "," 4,023 "," 3,726 "," 3,764 "," 3,015 "," 2,149 "," 1,391 "," 1,278 "," 49,589 "," 105,963 "
"McPherson","Participation rate (%)"," 70.9 "," 65.1 "," 63.6 "," 66.5 "," 68.6 "," 69.5 "," 73.2 "," 78.2 "," 80.3 "," 84.1 "," 87.5 "," 89.4 "," 89.3 "," 87.6 "," 83.1 "," 75.7 "," 78.1 "
"Moncrieff","Total participants"," 731 "," 2,459 "," 2,719 "," 2,648 "," 2,538 "," 2,728 "," 2,948 "," 2,909 "," 3,119 "," 3,140 "," 3,300 "," 2,964 "," 2,087 "," 1,318 "," 1,085 "," 36,693 "," 79,497 "
"Moncrieff","Eligible participants"," 1,075 "," 4,036 "," 4,454 "," 4,374 "," 4,083 "," 4,056 "," 4,261 "," 3,991 "," 3,975 "," 3,797 "," 3,874 "," 3,353 "," 2,351 "," 1,496 "," 1,300 "," 50,476 "," 104,729 "
"Moncrieff","Participation rate (%)"," 68.0 "," 60.9 "," 61.0 "," 60.5 "," 62.2 "," 67.3 "," 69.2 "," 72.9 "," 78.5 "," 82.7 "," 85.2 "," 88.4 "," 88.8 "," 88.1 "," 83.5 "," 72.7 "," 75.9 "
"Moreton","Total participants"," 1,052 "," 3,341 "," 3,167 "," 3,302 "," 3,258 "," 3,152 "," 3,235 "," 2,996 "," 3,105 "," 2,735 "," 2,494 "," 2,034 "," 1,383 "," 861 "," 820 "," 36,935 "," 78,051 "
"Moreton","Eligible participants"," 1,417 "," 4,759 "," 4,590 "," 4,781 "," 4,567 "," 4,218 "," 4,205 "," 3,773 "," 3,751 "," 3,211 "," 2,884 "," 2,292 "," 1,550 "," 973 "," 969 "," 47,940 "," 98,071 "
"Moreton","Participation rate (%)"," 74.2 "," 70.2 "," 69.0 "," 69.1 "," 71.3 "," 74.7 "," 76.9 "," 79.4 "," 82.8 "," 85.2 "," 86.5 "," 88.7 "," 89.2 "," 88.5 "," 84.6 "," 77.0 "," 79.6 "
"Oxley","Total participants"," 1,051 "," 2,963 "," 2,864 "," 2,986 "," 3,120 "," 3,174 "," 3,359 "," 3,145 "," 3,088 "," 2,674 "," 2,327 "," 1,810 "," 1,089 "," 603 "," 509 "," 34,762 "," 74,244 "
"Oxley","Eligible participants"," 1,467 "," 4,527 "," 4,330 "," 4,435 "," 4,611 "," 4,470 "," 4,547 "," 4,158 "," 3,937 "," 3,224 "," 2,677 "," 2,061 "," 1,273 "," 713 "," 639 "," 47,069 "," 97,592 "
"Oxley","Participation rate (%)"," 71.6 "," 65.5 "," 66.1 "," 67.3 "," 67.7 "," 71.0 "," 73.9 "," 75.6 "," 78.4 "," 82.9 "," 86.9 "," 87.8 "," 85.5 "," 84.6 "," 79.7 "," 73.9 "," 76.1 "
"Petrie","Total participants"," 935 "," 2,637 "," 2,597 "," 2,952 "," 3,129 "," 3,238 "," 3,481 "," 3,287 "," 3,331 "," 3,181 "," 3,294 "," 2,823 "," 1,926 "," 1,248 "," 1,054 "," 39,113 "," 86,411 "
"Petrie","Eligible participants"," 1,333 "," 4,162 "," 4,075 "," 4,376 "," 4,626 "," 4,523 "," 4,661 "," 4,138 "," 4,082 "," 3,702 "," 3,710 "," 3,117 "," 2,130 "," 1,411 "," 1,259 "," 51,305 "," 109,734 "
"Petrie","Participation rate (%)"," 70.1 "," 63.4 "," 63.7 "," 67.5 "," 67.6 "," 71.6 "," 74.7 "," 79.4 "," 81.6 "," 85.9 "," 88.8 "," 90.6 "," 90.4 "," 88.4 "," 83.7 "," 76.2 "," 78.7 "
"Rankin","Total participants"," 1,014 "," 2,933 "," 2,868 "," 3,189 "," 3,265 "," 3,109 "," 3,238 "," 3,028 "," 3,204 "," 3,005 "," 2,796 "," 2,137 "," 1,219 "," 615 "," 427 "," 36,047 "," 76,428 "
"Rankin","Eligible participants"," 1,435 "," 4,708 "," 4,661 "," 5,007 "," 5,106 "," 4,549 "," 4,404 "," 4,025 "," 4,021 "," 3,598 "," 3,240 "," 2,425 "," 1,411 "," 724 "," 541 "," 49,855 "," 102,547 "
"Rankin","Participation rate (%)"," 70.7 "," 62.3 "," 61.5 "," 63.7 "," 63.9 "," 68.3 "," 73.5 "," 75.2 "," 79.7 "," 83.5 "," 86.3 "," 88.1 "," 86.4 "," 84.9 "," 78.9 "," 72.3 "," 74.5 "
"Ryan","Total participants"," 1,567 "," 4,357 "," 3,442 "," 3,025 "," 3,294 "," 3,676 "," 4,011 "," 3,557 "," 3,419 "," 3,011 "," 2,871 "," 2,346 "," 1,604 "," 899 "," 784 "," 41,863 "," 89,580 "
"Ryan","Eligible participants"," 1,968 "," 5,936 "," 4,620 "," 3,933 "," 4,208 "," 4,531 "," 4,836 "," 4,243 "," 3,917 "," 3,374 "," 3,158 "," 2,555 "," 1,739 "," 1,006 "," 900 "," 50,924 "," 105,803 "
"Ryan","Participation rate (%)"," 79.6 "," 73.4 "," 74.5 "," 76.9 "," 78.3 "," 81.1 "," 82.9 "," 83.8 "," 87.3 "," 89.2 "," 90.9 "," 91.8 "," 92.2 "," 89.4 "," 87.1 "," 82.2 "," 84.7 "
"Wide Bay","Total participants"," 693 "," 1,799 "," 1,617 "," 1,706 "," 2,041 "," 2,465 "," 3,166 "," 3,407 "," 4,066 "," 4,499 "," 4,847 "," 4,161 "," 2,702 "," 1,479 "," 1,079 "," 39,727 "," 83,891 "
"Wide Bay","Eligible participants"," 1,004 "," 2,938 "," 2,667 "," 2,641 "," 3,060 "," 3,661 "," 4,310 "," 4,396 "," 5,060 "," 5,313 "," 5,510 "," 4,649 "," 3,009 "," 1,665 "," 1,255 "," 51,138 "," 105,536 "
"Wide Bay","Participation rate (%)"," 69.0 "," 61.2 "," 60.6 "," 64.6 "," 66.7 "," 67.3 "," 73.5 "," 77.5 "," 80.4 "," 84.7 "," 88.0 "," 89.5 "," 89.8 "," 88.8 "," 86.0 "," 77.7 "," 79.5 "
"Wright","Total participants"," 979 "," 2,547 "," 2,227 "," 2,404 "," 2,834 "," 3,288 "," 3,896 "," 3,905 "," 4,056 "," 3,658 "," 3,545 "," 2,927 "," 1,727 "," 943 "," 621 "," 39,557 "," 83,201 "
"Wright","Eligible participants"," 1,363 "," 3,822 "," 3,376 "," 3,622 "," 4,107 "," 4,612 "," 5,210 "," 4,961 "," 4,911 "," 4,253 "," 4,030 "," 3,285 "," 1,930 "," 1,074 "," 731 "," 51,287 "," 105,345 "
"Wright","Participation rate (%)"," 71.8 "," 66.6 "," 66.0 "," 66.4 "," 69.0 "," 71.3 "," 74.8 "," 78.7 "," 82.6 "," 86.0 "," 88.0 "," 89.1 "," 89.5 "," 87.8 "," 85.0 "," 77.1 "," 79.0 "
"Queensland (Total)","Total participants"," 27,779 "," 81,749 "," 81,828 "," 85,305 "," 86,260 "," 92,586 "," 102,259 "," 100,669 "," 106,070 "," 99,593 "," 96,494 "," 80,032 "," 52,727 "," 31,860 "," 24,254 "," 1,149,465 "," 2,455,163 "
"Queensland (Total)","Eligible participants"," 38,827 "," 128,155 "," 127,931 "," 128,125 "," 126,601 "," 131,310 "," 137,604 "," 129,746 "," 130,511 "," 117,700 "," 110,428 "," 89,604 "," 59,081 "," 36,195 "," 29,076 "," 1,520,897 "," 3,150,873 "
"Queensland (Total)","Participation rate (%)"," 71.5 "," 63.8 "," 64.0 "," 66.6 "," 68.1 "," 70.5 "," 74.3 "," 77.6 "," 81.3 "," 84.6 "," 87.4 "," 89.3 "," 89.2 "," 88.0 "," 83.4 "," 75.6 "," 77.9 "
"Adelaide","Total participants"," 949 "," 3,224 "," 3,870 "," 3,737 "," 3,329 "," 3,296 "," 3,534 "," 3,428 "," 3,687 "," 3,535 "," 3,181 "," 2,439 "," 1,583 "," 1,070 "," 1,065 "," 41,927 "," 89,757 "
"Adelaide","Eligible participants"," 1,211 "," 4,467 "," 5,290 "," 5,114 "," 4,593 "," 4,433 "," 4,593 "," 4,359 "," 4,443 "," 4,073 "," 3,594 "," 2,716 "," 1,777 "," 1,235 "," 1,323 "," 53,221 "," 110,234 "
"Adelaide","Participation rate (%)"," 78.4 "," 72.2 "," 73.2 "," 73.1 "," 72.5 "," 74.4 "," 76.9 "," 78.6 "," 83.0 "," 86.8 "," 88.5 "," 89.8 "," 89.1 "," 86.6 "," 80.5 "," 78.8 "," 81.4 "
"Barker","Total participants"," 700 "," 1,914 "," 1,916 "," 1,992 "," 2,141 "," 2,403 "," 3,226 "," 3,473 "," 4,074 "," 4,202 "," 4,233 "," 3,500 "," 2,345 "," 1,517 "," 1,176 "," 38,812 "," 81,568 "
"Barker","Eligible participants"," 991 "," 3,296 "," 3,342 "," 3,333 "," 3,448 "," 3,712 "," 4,571 "," 4,683 "," 5,103 "," 4,971 "," 4,827 "," 3,889 "," 2,618 "," 1,721 "," 1,402 "," 51,907 "," 105,865 "
"Barker","Participation rate (%)"," 70.6 "," 58.1 "," 57.3 "," 59.8 "," 62.1 "," 64.7 "," 70.6 "," 74.2 "," 79.8 "," 84.5 "," 87.7 "," 90.0 "," 89.6 "," 88.1 "," 83.9 "," 74.8 "," 77.0 "
"Boothby","Total participants"," 1,107 "," 3,190 "," 2,810 "," 2,708 "," 2,819 "," 3,268 "," 3,469 "," 3,465 "," 3,845 "," 3,653 "," 3,639 "," 3,024 "," 1,972 "," 1,366 "," 1,452 "," 41,787 "," 90,929 "
"Boothby","Eligible participants"," 1,377 "," 4,261 "," 3,833 "," 3,623 "," 3,717 "," 4,209 "," 4,336 "," 4,238 "," 4,521 "," 4,139 "," 4,018 "," 3,290 "," 2,144 "," 1,529 "," 1,694 "," 50,929 "," 107,848 "
"Boothby","Participation rate (%)"," 80.4 "," 74.9 "," 73.3 "," 74.7 "," 75.8 "," 77.6 "," 80.0 "," 81.8 "," 85.0 "," 88.3 "," 90.6 "," 91.9 "," 92.0 "," 89.3 "," 85.7 "," 82.0 "," 84.3 "
"Grey","Total participants"," 562 "," 1,786 "," 1,863 "," 1,964 "," 1,966 "," 2,205 "," 2,856 "," 3,334 "," 4,006 "," 4,126 "," 4,009 "," 3,476 "," 2,405 "," 1,459 "," 1,072 "," 37,096 "," 76,821 "
"Grey","Eligible participants"," 836 "," 3,223 "," 3,359 "," 3,348 "," 3,330 "," 3,516 "," 4,282 "," 4,611 "," 5,151 "," 4,947 "," 4,565 "," 3,880 "," 2,673 "," 1,652 "," 1,294 "," 50,695 "," 102,148 "
"Grey","Participation rate (%)"," 67.2 "," 55.4 "," 55.5 "," 58.7 "," 59.0 "," 62.7 "," 66.7 "," 72.3 "," 77.8 "," 83.4 "," 87.8 "," 89.6 "," 90.0 "," 88.3 "," 82.8 "," 73.2 "," 75.2 "
"Hindmarsh","Total participants"," 907 "," 3,101 "," 3,090 "," 2,996 "," 2,974 "," 3,008 "," 3,497 "," 3,569 "," 3,743 "," 3,468 "," 3,351 "," 3,011 "," 2,042 "," 1,744 "," 1,629 "," 42,130 "," 91,833 "
"Hindmarsh","Eligible participants"," 1,163 "," 4,266 "," 4,455 "," 4,270 "," 4,121 "," 4,048 "," 4,576 "," 4,504 "," 4,536 "," 4,011 "," 3,786 "," 3,333 "," 2,250 "," 1,946 "," 1,937 "," 53,202 "," 112,381 "
"Hindmarsh","Participation rate (%)"," 78.0 "," 72.7 "," 69.4 "," 70.2 "," 72.2 "," 74.3 "," 76.4 "," 79.2 "," 82.5 "," 86.5 "," 88.5 "," 90.3 "," 90.8 "," 89.6 "," 84.1 "," 79.2 "," 81.7 "
"Kingston","Total participants"," 1,000 "," 2,910 "," 3,077 "," 3,348 "," 3,028 "," 3,127 "," 3,302 "," 3,265 "," 3,584 "," 3,545 "," 3,526 "," 2,800 "," 1,699 "," 1,027 "," 849 "," 40,087 "," 86,682 "
"Kingston","Eligible participants"," 1,302 "," 4,248 "," 4,462 "," 4,733 "," 4,258 "," 4,400 "," 4,501 "," 4,114 "," 4,270 "," 4,063 "," 3,931 "," 3,088 "," 1,903 "," 1,160 "," 1,022 "," 51,455 "," 107,446 "
"Kingston","Participation rate (%)"," 76.8 "," 68.5 "," 69.0 "," 70.7 "," 71.1 "," 71.1 "," 73.4 "," 79.4 "," 83.9 "," 87.3 "," 89.7 "," 90.7 "," 89.3 "," 88.5 "," 83.1 "," 77.9 "," 80.7 "
"Makin","Total participants"," 1,000 "," 2,986 "," 2,814 "," 2,954 "," 3,114 "," 3,137 "," 3,454 "," 3,459 "," 3,437 "," 3,277 "," 3,307 "," 2,810 "," 1,953 "," 1,210 "," 942 "," 39,854 "," 85,532 "
"Makin","Eligible participants"," 1,348 "," 4,318 "," 4,173 "," 4,467 "," 4,507 "," 4,425 "," 4,670 "," 4,436 "," 4,205 "," 3,789 "," 3,699 "," 3,099 "," 2,160 "," 1,352 "," 1,134 "," 51,782 "," 107,523 "
"Makin","Participation rate (%)"," 74.2 "," 69.2 "," 67.4 "," 66.1 "," 69.1 "," 70.9 "," 74.0 "," 78.0 "," 81.7 "," 86.5 "," 89.4 "," 90.7 "," 90.4 "," 89.5 "," 83.1 "," 77.0 "," 79.5 "
"Mayo","Total participants"," 883 "," 2,375 "," 2,063 "," 2,078 "," 2,328 "," 2,700 "," 3,516 "," 3,512 "," 4,149 "," 4,256 "," 4,567 "," 3,991 "," 2,452 "," 1,537 "," 1,182 "," 41,589 "," 88,869 "
"Mayo","Eligible participants"," 1,113 "," 3,231 "," 2,828 "," 2,827 "," 3,149 "," 3,665 "," 4,575 "," 4,453 "," 4,940 "," 4,897 "," 5,051 "," 4,345 "," 2,688 "," 1,702 "," 1,393 "," 50,857 "," 106,108 "
"Mayo","Participation rate (%)"," 79.3 "," 73.5 "," 72.9 "," 73.5 "," 73.9 "," 73.7 "," 76.9 "," 78.9 "," 84.0 "," 86.9 "," 90.4 "," 91.9 "," 91.2 "," 90.3 "," 84.9 "," 81.8 "," 83.8 "
"Port Adelaide","Total participants"," 986 "," 3,135 "," 3,292 "," 3,383 "," 3,233 "," 3,139 "," 3,731 "," 3,886 "," 4,009 "," 3,531 "," 3,019 "," 2,244 "," 1,490 "," 1,096 "," 962 "," 41,136 "," 87,794 "
"Port Adelaide","Eligible participants"," 1,368 "," 4,802 "," 5,013 "," 5,198 "," 4,875 "," 4,627 "," 5,184 "," 5,117 "," 5,110 "," 4,233 "," 3,551 "," 2,574 "," 1,732 "," 1,297 "," 1,194 "," 55,875 "," 115,047 "
"Port Adelaide","Participation rate (%)"," 72.1 "," 65.3 "," 65.7 "," 65.1 "," 66.3 "," 67.8 "," 72.0 "," 75.9 "," 78.5 "," 83.4 "," 85.0 "," 87.2 "," 86.0 "," 84.5 "," 80.6 "," 73.6 "," 76.3 "
"Sturt","Total participants"," 988 "," 2,873 "," 2,621 "," 2,558 "," 2,610 "," 2,965 "," 3,438 "," 3,334 "," 3,391 "," 3,040 "," 2,957 "," 2,837 "," 2,181 "," 1,578 "," 1,486 "," 38,857 "," 85,215 "
"Sturt","Eligible participants"," 1,277 "," 3,870 "," 3,707 "," 3,651 "," 3,702 "," 4,016 "," 4,472 "," 4,279 "," 4,081 "," 3,537 "," 3,297 "," 3,129 "," 2,394 "," 1,765 "," 1,793 "," 48,970 "," 104,625 "
"Sturt","Participation rate (%)"," 77.4 "," 74.2 "," 70.7 "," 70.1 "," 70.5 "," 73.8 "," 76.9 "," 77.9 "," 83.1 "," 85.9 "," 89.7 "," 90.7 "," 91.1 "," 89.4 "," 82.9 "," 79.3 "," 81.4 "
"Wakefield","Total participants"," 965 "," 3,139 "," 2,997 "," 3,224 "," 2,782 "," 2,957 "," 3,497 "," 3,857 "," 4,066 "," 3,571 "," 3,148 "," 2,458 "," 1,777 "," 1,281 "," 909 "," 40,628 "," 86,553 "
"Wakefield","Eligible participants"," 1,339 "," 5,046 "," 4,988 "," 5,138 "," 4,372 "," 4,391 "," 4,940 "," 5,035 "," 5,049 "," 4,290 "," 3,615 "," 2,811 "," 2,001 "," 1,440 "," 1,119 "," 55,574 "," 114,355 "
"Wakefield","Participation rate (%)"," 72.1 "," 62.2 "," 60.1 "," 62.7 "," 63.6 "," 67.3 "," 70.8 "," 76.6 "," 80.5 "," 83.2 "," 87.1 "," 87.4 "," 88.8 "," 89.0 "," 81.2 "," 73.1 "," 75.7 "
"South Australia (Total)","Total participants"," 10,047 "," 30,633 "," 30,413 "," 30,942 "," 30,324 "," 32,205 "," 37,520 "," 38,582 "," 41,991 "," 40,204 "," 38,937 "," 32,590 "," 21,899 "," 14,885 "," 12,724 "," 443,903 "," 951,553 "
"South Australia (Total)","Eligible participants"," 13,325 "," 45,028 "," 45,450 "," 45,702 "," 44,072 "," 45,442 "," 50,700 "," 49,829 "," 51,409 "," 46,950 "," 43,934 "," 36,154 "," 24,340 "," 16,799 "," 15,305 "," 574,467 "," 1,193,580 "
"South Australia (Total)","Participation rate (%)"," 75.4 "," 68.0 "," 66.9 "," 67.7 "," 68.8 "," 70.9 "," 74.0 "," 77.4 "," 81.7 "," 85.6 "," 88.6 "," 90.1 "," 90.0 "," 88.6 "," 83.1 "," 77.3 "," 79.7 "
"Brand","Total participants"," 990 "," 2,851 "," 3,143 "," 3,314 "," 3,166 "," 2,986 "," 3,434 "," 3,347 "," 3,229 "," 2,574 "," 2,394 "," 2,079 "," 1,461 "," 913 "," 629 "," 36,510 "," 77,628 "
"Brand","Eligible participants"," 1,357 "," 4,573 "," 4,892 "," 5,128 "," 4,685 "," 4,382 "," 4,707 "," 4,320 "," 3,995 "," 3,131 "," 2,766 "," 2,335 "," 1,644 "," 1,057 "," 747 "," 49,719 "," 102,094 "
"Brand","Participation rate (%)"," 73.0 "," 62.3 "," 64.2 "," 64.6 "," 67.6 "," 68.1 "," 73.0 "," 77.5 "," 80.8 "," 82.2 "," 86.6 "," 89.0 "," 88.9 "," 86.4 "," 84.2 "," 73.4 "," 76.0 "
"Burt","Total participants"," 1,102 "," 2,978 "," 3,019 "," 3,552 "," 3,422 "," 3,093 "," 3,231 "," 3,135 "," 3,014 "," 2,832 "," 2,645 "," 1,995 "," 1,307 "," 796 "," 549 "," 36,670 "," 77,502 "
"Burt","Eligible participants"," 1,504 "," 4,526 "," 4,713 "," 5,329 "," 5,224 "," 4,525 "," 4,448 "," 4,107 "," 3,769 "," 3,409 "," 3,061 "," 2,246 "," 1,473 "," 894 "," 650 "," 49,878 "," 101,699 "
"Burt","Participation rate (%)"," 73.3 "," 65.8 "," 64.1 "," 66.7 "," 65.5 "," 68.4 "," 72.6 "," 76.3 "," 80.0 "," 83.1 "," 86.4 "," 88.8 "," 88.7 "," 89.0 "," 84.5 "," 73.5 "," 76.2 "
